,name,age_group,sex,year,population,Total_inactive_population,Total_unemployed_population,Total_employed_population,Less than basic_employed,Basic_employed,Intermediate_employed,Advanced_employed,Level not stated_employed,Less than basic_unemployed,Basic_unemployed,Intermediate_unemployed,Advanced_unemployed,Level not stated_unemployed
0,Ghana,15-24,female,2015,2664400.0,1578683.644,148743.14077199996,936973.215228,450204.8575410942,217487.26783960804,254354.71884237757,14927.860960101345,,401874.0079304977,328799.3245804902,797397.5304039036,50612.78108510876,
1,Ghana,15-24,female,2016,2712580.0,1611164.0168,109976.38592251998,991439.59727748,,,,,,,,,,
2,Ghana,15-24,female,2017,2760760.0,1645302.5295999998,68656.40730312001,1046801.0630968802,100684.2694427481,665232.0172926883,259910.45021066282,19771.954013507744,1203.2446859941385,62214.568102556455,664101.3924856161,799632.7204833335,119353.84852849375,
3,Ghana,15-24,female,2018,2808940.0,1679914.6563999997,70891.50132464402,1058133.8422753562,101774.28800746487,672433.8895683304,262724.26827242674,19986.00728175641,1216.2711404034462,63523.37209527653,678072.0521006335,816454.5442007788,121864.6880033109,
4,Ghana,15-24,female,2019,2857120.0,1714986.28,72731.0752896,1069402.6447104,102858.1531091208,679595.1052382491,265522.20153546944,20198.85215877042,1229.224056793663,64849.55124815239,692228.1806243975,833499.6877452027,124408.86038224747,
5,Ghana,15-24,female,2020,2905300.0,1766741.983,83615.70076848,1054942.31623152,101467.31805924901,670405.7054336083,261931.84361777606,19925.725812434095,1212.6026432191798,66806.61303530712,713118.5845549915,858653.4529925453,128163.33241715615,
6,Ghana,15-24,female,2021,2965080.0,1791530.9868,84119.99326617601,1089429.019933824,104784.34618442359,692321.6742670635,270494.5543385981,20577.10986592575,1252.243358566267,67743.9708387286,723124.2896734985,870701.1452497771,129961.58103799597,
7,Ghana,15-24,female,2022,3024860.0,1826712.9540000001,85032.49585461999,1113114.55014538,107062.4870745938,707373.6011314347,276375.4394826687,21024.48160697364,1279.4686732575751,69074.3224640181,737324.9567165277,887799.9168361375,132513.75798331684,
8,Ghana,15-24,female,2023,3084640.0,1870556.5423999997,86515.58718857603,1127567.8704114242,108452.64805485071,716558.5472841576,279964.0573297627,21297.475582349725,1296.0820312471435,70732.19988613292,755021.7556846084,909108.3189307763,135694.26789848204,
9,Ghana,15-24,female,2024,3144420.0,1913662.5678,87051.47317950599,1143705.959020494,110004.85479124771,726814.1475305877,283970.98665357707,21602.291422811773,1314.6319449275124,72362.18750520675,772420.8485430022,930058.2583733456,138821.27337844556,
26,Ghana,15-24,male,2015,2776600.0,1497892.4020000002,189108.06666821995,1089599.53133178,431048.390543008,277054.0613773508,350437.71568900486,31057.473316833588,,129573.55229242297,496654.80331968126,828495.9221858289,43168.124202067236,
27,Ghana,15-24,male,2016,2826980.0,1535502.4568,138058.94936807998,1153418.59383192,,,,,,,,,,
28,Ghana,15-24,male,2017,2877360.0,1574836.6752000002,84507.713313024,1218015.6114869758,79897.30768302377,702346.6508159282,406422.2504974496,28484.49289736888,863.8823846623594,33436.06431810196,551059.9519030725,880652.389535514,109688.2694433117,
29,Ghana,15-24,male,2018,2927740.0,1616200.3122,86600.96558543398,1224938.722214566,80351.43807569637,706338.7372776237,408732.32453575794,28646.396650069553,868.7926282981784,34314.274261356535,565533.7345973074,903783.0330730753,112569.2702682608,
30,Ghana,15-24,male,2019,2978120.0,1658425.6844,88115.989452612,1231578.3261473882,80786.97147388202,710167.3446788612,410947.79923685384,28801.670317567892,873.5017936197112,35210.78009143297,580309.0518984911,927395.5609704421,115510.29143963371,
31,Ghana,15-24,male,2020,3028500.0,1711193.355,96663.9616101,1220642.6833899,80069.63385861123,703861.50426696,407298.84063712903,28545.929557337768,865.7456457887148,36331.11419076042,598773.2840825558,956903.3670406884,119185.58968599545,
32,Ghana,15-24,male,2021,3089540.0,1740863.1038,96457.371616224,1252219.524583776,82140.95755326,722069.7180588916,417835.2662301871,29284.385042001253,888.1416451613073,36961.045944828016,609155.1926348365,973494.7606684245,121252.10455191098,
