,name,age_group,sex,year,population,ILO_inactive_share,Total_inactive_population,ILO_unemployed_rate,Total_unemployed_population,Total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts and entertainment,Other services,Activities of households,Extraterritorial organizations
0,Ghana,15-24,female,2015,2664400.0,59.251,1578683.644,13.7,148743.14077199996,936973.215228,268225.12500255054,2268.551745339782,174633.22056006693,444.30023681372467,2521.8703790191,2973.317536532241,262822.8470560916,2202.8397800201474,69858.17195317138,1112.1402710591983,3752.1333671936536,0.0,7015.8938199271815,2649.919374883645,12923.220829144873,48531.562060537595,28399.67907815628,0,0,8200.098874705494,0
1,Ghana,15-24,female,2016,2712580.0,59.396,1611164.0168,9.985,109976.38592251998,991439.59727748,49485856.76278548,763632.4311898896,14933823.287575683,64903.31827303202,130348.84083057569,180800.9450631089,26300423.044019565,263216.507113477,3980271.4900463317,60494.42581673714,1164039.3342188513,1402.7545257520455,264719.8183597789,267797.2900234186,934332.1150185126,3899070.512444739,1227770.4144577521,0,0,548481.5737214534,0
2,Ghana,15-24,female,2017,2760760.0,59.596,1645302.5295999998,6.155,68656.40730312001,1046801.0630968802,411562.52433181455,4967.736349950293,162694.07497055008,739.3925561692996,1484.9620201232601,2191.9675462864984,271506.9833355011,2673.098579675508,49769.516285911915,614.3519093933218,7996.758372785192,16.36045845666998,3087.452231608721,3123.345074141211,10608.421761521367,42892.11376977951,16632.075455741433,0,0,5634.174616879135,0
3,Ghana,15-24,female,2018,2808940.0,59.806,1679914.6563999997,6.279,70891.50132464402,1058133.8422753562,40019830.27403253,504078.88803757826,16708982.238239333,84079.41198241459,168861.22591636435,255821.61037720137,27584323.808762863,288757.5823583431,5144553.998221487,66364.4705894768,745818.3685734529,1677.9520786984608,316653.527994381,320334.7493915256,1051593.86167194,4200549.885000861,1650138.6378826632,0,0,556298.8447817239,0
4,Ghana,15-24,female,2019,2857120.0,60.025,1714986.28,6.368,72731.0752896,1069402.6447104,40350218.17810301,518443.92777401453,16370543.603976166,82816.44964530654,166324.75041657293,230865.8650686918,27637256.83241243,272353.311683182,5054513.425909058,62594.31595016922,812407.6159606517,1689.126660637387,318762.3312431412,322468.0683047436,1044931.1243216164,4214458.037935773,1602557.5525542707,0,0,557525.0541586373,0
5,Ghana,15-24,female,2020,2905300.0,60.811,1766741.983,7.344,83615.70076848,1054942.31623152,40498898.60580359,478234.59156900935,16496807.429542262,73937.31861591653,148492.3118285341,235763.05353919236,27583999.944881722,256276.67971613447,4738992.851976498,58899.46173840712,854040.2747506452,1675.105970253221,316116.42667207215,319791.4040557909,1096984.938685601,4393779.135387187,1667230.759016996,0,0,554762.4676585098,0
6,Ghana,15-24,female,2021,2965080.0,60.421,1791530.9868,7.168,84119.99326617601,1089429.019933824,40765819.560866885,510830.0217593843,16344411.916663568,81376.43489630148,163432.6909917818,225604.86448187113,27348878.77518585,262862.4327026139,4981025.788506797,60413.04973430045,804361.0175546102,1649.1860230116458,311224.96234262636,314843.0745359682,1040920.0581601091,4243912.096678448,1656011.5495533685,0,0,562696.3576784316,0
7,Ghana,15-24,female,2022,3024860.0,60.39,1826712.9540000001,7.097,85032.49585461999,1113114.55014538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
8,Ghana,15-24,female,2023,3084640.0,60.641,1870556.5423999997,7.126,86515.58718857603,1127567.8704114242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
9,Ghana,15-24,female,2024,3144420.0,60.859,1913662.5678,7.073,87051.47317950599,1143705.959020494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
